"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"US.State","NY: 1.78%","CA: 1.76%","TX: 0.89%","CT: 0.82%","PA: 0.73%","Others: 8.04%","Not Available: 85.98%"
"Email","COM: 10.22%","NET: 2.82%","EDU: 0.36%","Other: 0.29%","Gazelle: 0.25%","Others: 0.08%","Not Available: 85.98%"
"Truck.Owner","False: 8.37%","True: 2.19%","","","","Others: 0%","Not Available: 89.44%"
"RV.Owner","False: 9.74%","True: 0.82%","","","","Others: 0%","Not Available: 89.44%"
"Motorcycle.Owner","False: 10.44%","True: 0.12%","","","","Others: 0%","Not Available: 89.44%"
"Marital.Status","Married: 5.35%","Single: 2.45%","Inferred Married: 0.62%","Inferred Single: 0.61%","","Others: 0%","Not Available: 90.97%"
"Working.Woman","False: 7.11%","True: 3.46%","","","","Others: 0%","Not Available: 89.44%"
"Mail.Responder","True: 7.78%","False: 2.79%","","","","Others: 0%","Not Available: 89.44%"
"Bank.Card.Holder","True: 8.6%","False: 1.96%","","","","Others: 0%","Not Available: 89.44%"
"Gas.Card.Holder","True: 7.29%","False: 3.28%","","","","Others: 0%","Not Available: 89.44%"
"Upscale.Card.Holder","False: 5.38%","True: 5.19%","","","","Others: 0%","Not Available: 89.44%"
"Unknown.Card.Type","False: 6.31%","True: 4.26%","","","","Others: 0%","Not Available: 89.44%"
"TE.Card.Holder","False: 9.58%","True: 0.99%","","","","Others: 0%","Not Available: 89.44%"
"Premium.Card.Holder","False: 8.44%","True: 2.12%","","","","Others: 0%","Not Available: 89.44%"
"Presence.Of.Children","False: 5.63%","True: 4.94%","","","","Others: 0%","Not Available: 89.44%"
"Estimated.Income.Code","$50;000-$74;999: 2.2%","$75;000-$99;999: 1.89%","$40;000-$49;999: 1.36%","$125;000 OR MORE: 1.1%","$30;000-$39;999: 1.07%","Others: 2.67%","Not Available: 89.71%"
"Home.Market.Value","$50;000-$74;999: 1.3%","$100;000-$124;999: 1.09%","$75;000-$99;999: 1.04%","$150;000-$174;999: 0.65%","$125;000-$149;999: 0.64%","Others: 3.06%","Not Available: 92.22%"
"New.Car.Buyer","True: 4.68%","","","","","Others: 0%","Not Available: 95.32%"
"Vehicle.Lifestyle","IMPORT (STANDARD/ECONOMY): 1.18%","FULL SIZE (STANDARD/LUXURY): 1.09%","TRUCK OR UTILITY VEHICLE: 0.55%","SPECIALTY (MIDSIZE/SMALL): 0.51%","STATION WAGON: 0.44%","Others: 0.75%","Not Available: 95.48%"
"Property.Type","single family dwelling: 3.24%","condo: 0.42%","2-4 unit(duplex;triplex;quad): 0.09%","misc\. residential (condo store/flat): 0.07%","apartment(5+ units): 0.03%","Others: 0%","Not Available: 96.15%"
"Loan.To.Value.Percent","0% (NO LOANS): 0.78%","70-74%: 0.27%","100-99%: 0.25%","60-69%: 0.24%","01-49%: 0.21%","Others: 0.92%","Not Available: 97.33%"
"Presence.Of.Pool","False: 10.38%","True: 0.18%","","","","Others: 0%","Not Available: 89.44%"
"Own.Or.Rent.Home","Owner: 8.83%","Renter: 0.49%","","","","Others: 0%","Not Available: 90.68%"
"Mail.Order.Buyer","True: 6.48%","False: 4.09%","","","","Others: 0%","Not Available: 89.44%"
"DMA.No.Mail.Solicitation.Flag","True: 10.56%","","","","","Others: 0%","Not Available: 89.44%"
"DMA.No.Phone.Solicitation.Flag","True: 10.56%","","","","","Others: 0%","Not Available: 89.44%"
"New.Bank.Card","False: 10.56%","","","","","Others: 0%","Not Available: 89.44%"
"Speciality.Store.Retail","False: 9.18%","True: 1.38%","","","","Others: 0%","Not Available: 89.44%"
"Oil.Retail.Activity","False: 9.53%","True: 1.04%","","","","Others: 0%","Not Available: 89.44%"
"Bank.Retail.Activity","False: 8.28%","True: 2.28%","","","","Others: 0%","Not Available: 89.44%"
"Finance.Retail.Activity","False: 9.66%","True: 0.91%","","","","Others: 0%","Not Available: 89.44%"
"Miscellaneous.Retail.Activity","False: 9.94%","True: 0.63%","","","","Others: 0%","Not Available: 89.44%"
"Upscale.Retail","False: 9.99%","True: 0.57%","","","","Others: 0%","Not Available: 89.44%"
"Upscale.Speciality.Retail","False: 10.25%","True: 0.31%","","","","Others: 0%","Not Available: 89.44%"
"Retail.Activity","False: 6.8%","True: 3.76%","","","","Others: 0%","Not Available: 89.44%"
"Dwelling.Size","SINGLE HOUSEHOLD: 7.32%","2 HOUSEHOLDS: 0.74%","100+ HOUSEHOLDS: 0.33%","10-19 HOUSEHOLDS: 0.26%","30-39 HOUSEHOLDS: 0.21%","Others: 0.98%","Not Available: 90.16%"
"Lendable.Home.Equity","EQUITY LESS THAN OR EQUAL $0: 0.8%","EQUITY $10;000-$19;9999: 0.31%","EQUITY $30;000-$49;000: 0.28%","EQUITY $75;000-$99;999: 0.23%","EQUITY $100;000-$149;999: 0.21%","Others: 0.84%","Not Available: 97.33%"
"Home.Size.Range","1;250-1;499 FT: 0.51%","1;000-1;249 FT: 0.45%","750-999 FT: 0.37%","2;000-2;499 FT: 0.36%","1;500-1;749 FT: 0.3%","Others: 0.88%","Not Available: 97.13%"
"Lot.Size.Range","1 ACRE OR LESS: 2.2%","GREATER THAN 1 ACRE: 0.29%","","","","Others: 0%","Not Available: 97.51%"
"Dwelling.Unit.Size","SINGLE FAMILY DWELLING UNIT: 7.51%","MULTI FAMILY DWELLING UNIT: 2.58%","","","","Others: 0.01%","Not Available: 89.9%"
"Available.Home.Equity","EQUITY $30;000-$49;000: 1.58%","EQUITY $50;000-$74;000: 1.53%","EQUITY $100;000-$149;999: 1.01%","EQUITY $20;000-$29;000: 0.94%","EQUITY $75;000-$99;999: 0.9%","Others: 2.24%","Not Available: 91.8%"
"Minority.Census.Tract","False: 10.46%","True: 0.1%","","","","Others: 0%","Not Available: 89.44%"
"Gender","Female: 5.84%","Male: 1.25%","","","","Others: 0%","Not Available: 92.91%"
"Occupation","PROFESSIONAL/TECHNICAL: 0.93%","HOUSEWIFE: 0.56%","ADMINISTRATIVE/MANAGERIAL: 0.48%","CLERICAL/WHITE COLLAR: 0.39%","STUDENT: 0.21%","Others: 0.81%","Not Available: 96.62%"
"Other.Indiv...Gender","Male: 4.11%","Female: 1.09%","","","","Others: 0%","Not Available: 94.8%"
"Other.Indiv...Occupation","PROFESSIONAL/TECHNICAL: 1.29%","ADMINISTRATIVE/MANAGERIAL: 0.53%","CRAFTSMAN/BLUE COLLAR: 0.43%","CLERICAL/WHITE COLLAR: 0.15%","SALES/SERVICE: 0.15%","Others: 0.38%","Not Available: 97.07%"
