"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"ColorOrScent","Scent: 0.25%","Color: 0.04%","","","","Others: 0.01%","Not Available: 99.7%"
"Texture","Flat: 2.23%","Textured: 1.12%","","","","Others: 0%","Not Available: 96.65%"
"WeightUOM","oz: 17.64%","oz\.: 0.12%","lb: 0.02%","","","Others: 0%","Not Available: 82.22%"
"Manufacturer","Donna Karan Company: 2.14%","Peneco: 1.8%","HAN: 1.72%","Kneipp: 1.31%","Paul Lavitt Mills Inc\.: 1.3%","Others: 11.61%","Not Available: 80.12%"
"ExplodedProdKits","IS: 0.02%","","","","","Others: 0%","Not Available: 99.98%"
"DimUOM","in: 12.02%","inches: 5.79%","","","","Others: 0%","Not Available: 82.19%"
"ToeFeature","SF: 5.6%","RT: 0.91%","","","","Others: 0%","Not Available: 93.49%"
"Category2","Gift Sets & Special Items: 0.25%","Cellulite & Other Treatments: 0.18%","Skincare: 0.18%","Footcare: 0.11%","Health Supplements: 0.05%","Others: 0.02%","Not Available: 99.21%"
"Material","Cotton: 4.52%","Nylon: 1.61%","Coolmax: 0.25%","Rayon: 0.1%","Luxury: 0.07%","Others: 0.27%","Not Available: 93.18%"
"CategoryCode","PH: 4.71%","WDCS: 1.76%","TH: 1.09%","FO: 0.94%","TT: 0.86%","Others: 4.55%","Not Available: 86.09%"
"Cat1Sub1","Moisturizers: 1.51%","Energizers & Relaxers: 0.71%","Massage/Relaxers: 0.71%","Gift Sets & Special Items: 0.66%","Suncare: 0.65%","Others: 1.76%","Not Available: 94%"
"WaistControl","CT: 4.31%","STW: 1.35%","","","","Others: 0%","Not Available: 94.34%"
"Collection","Oroblu Italian Hosiery: 0.82%","Conversationals: 0.67%","DKNY Skin: 0.58%","Action Pack 3-Pair: 0.51%","Womens Dance: 0.5%","Others: 9.96%","Not Available: 86.96%"
"BodyFeature","MBC: 0.97%","UBC: 0.26%","LBC: 0.17%","BS: 0.1%","","Others: 0.01%","Not Available: 98.49%"
"Product.Web.Template","productDetailLegwear\.jhtml: 13.91%","productDetailLegcare\.jhtml: 6%","","","","Others: 0%","Not Available: 80.09%"
"Audience","Women: 11.24%","Men: 1.42%","Children: 1.24%","","","Others: 0.01%","Not Available: 86.09%"
"Category1","Skincare: 3.64%","Footcare: 1.08%","Cellulite & Other Treatments: 0.9%","Hair Removal: 0.23%","Health Supplements: 0.11%","Others: 0.04%","Not Available: 94%"
"Freight","FOB: 6%","","","","","Others: 0%","Not Available: 94%"
"Product","Cellulite Trimming Gel: 0.2%","Body Lotion - Oceanic Minerals: 0.16%","Kit-Firming Cream/Slimming Cream/Shorts: 0.15%","Body Silk: 0.14%","Herbal Foot Balm: 0.14%","Others: 5.21%","Not Available: 94%"
"Cat2Sub1","Energizers: 0.18%","Moisturizers: 0.11%","Cellulite: 0.09%","Firming: 0.09%","Leg Veins & Circulation: 0.05%","Others: 0.02%","Not Available: 99.46%"
"ActionCode","A: 5.35%","","","","","Others: 0%","Not Available: 94.65%"
"Pattern","Solid: 3.64%","Conversational: 2.46%","Floral: 0.13%","Stripe: 0.03%","Herringbone: 0.01%","Others: 0.01%","Not Available: 93.72%"
"Product.Object.Type","PRODUCT: 19.91%","","","","","Others: 0%","Not Available: 80.09%"
"Product.Object.Status","A: 19.37%","I: 0.53%","","","","Others: 0.01%","Not Available: 80.09%"
"Product.Creation.Date","2000-01-04: 12.39%","2000-02-19: 3.06%","1999-12-27: 1.22%","2000-03-13: 1.1%","2000-03-21: 0.98%","Others: 1.16%","Not Available: 80.09%"
"Product.Creation.Date_Time","21:51:11: 1.99%","21:39:34: 1.47%","12:45:52: 1.38%","21:51:10: 1.37%","21:39:32: 1.26%","Others: 12.44%","Not Available: 80.09%"
"Product.Modification.Date","2000-02-22: 6.85%","2000-01-28: 5.96%","2000-02-23: 2.85%","2000-03-21: 1.19%","2000-03-09: 0.89%","Others: 2.17%","Not Available: 80.09%"
"Product.Modification.Date_Time","10:01:09: 0.87%","11:16:13: 0.81%","14:15:53: 0.64%","17:17:24: 0.59%","17:17:22: 0.48%","Others: 16.52%","Not Available: 80.09%"
"Product.Family.Status","Active: 19.91%","","","","","Others: 0%","Not Available: 80.09%"
"Product.Status","Active: 19.37%","Inactive: 0.53%","","","","Others: 0.01%","Not Available: 80.09%"
"Product.Code","ORO-TricotPH: 0.42%","HPK-BarDecHrtGMLS: 0.26%","DKNY-SkSfThH: 0.24%","HSR-BBTtSfPH: 0.24%","EVP-THCStkLGtr: 0.21%","Others: 18.54%","Not Available: 80.09%"
