"Variable","Top 1st","Top 2nd","Top 3rd","Top 4th","Top 5th","Others","Not Available"
"CategoryCode","PH: 33.89%","WDCS: 12.66%","TH: 7.83%","FO: 6.76%","TT: 6.2%","0%","86.09%"
"Cat1Sub1","Moisturizers: 25.09%","Energizers & Relaxers: 11.82%","Massage/Relaxers: 11.77%","Gift Sets & Special Items: 10.93%","Suncare: 10.9%","0%","94%"
"WaistControl","CT: 76.17%","STW: 23.83%","","","","0%","94.34%"
"Collection","Oroblu Italian Hosiery: 6.31%","Conversationals: 5.17%","DKNY Skin: 4.41%","Action Pack 3-Pair: 3.9%","Womens Dance: 3.84%","0%","86.96%"
"BodyFeature","MBC: 64.5%","UBC: 17.51%","LBC: 11.17%","BS: 6.82%","","0%","98.49%"
"Product.Web.Template","productDetailLegwear\.jhtml: 69.85%","productDetailLegcare\.jhtml: 30.15%","","","","0%","80.09%"
"Audience","Women: 80.86%","Men: 10.21%","Children: 8.93%","","","0%","86.09%"
"Category1","Skincare: 60.62%","Footcare: 18.05%","Cellulite & Other Treatments: 15%","Hair Removal: 3.89%","Health Supplements: 1.83%","0%","94%"
"Freight","FOB: 100%","","","","","0%","94%"
"Product","Cellulite Trimming Gel: 3.25%","Body Lotion - Oceanic Minerals: 2.74%","Kit-Firming Cream/Slimming Cream/Shorts: 2.57%","Body Silk: 2.41%","Herbal Foot Balm: 2.31%","0%","94%"
"Cat2Sub1","Energizers: 34.23%","Moisturizers: 21.28%","Cellulite: 16.89%","Firming: 16.67%","Leg Veins & Circulation: 9.12%","0%","99.46%"
"ActionCode","A: 100%","","","","","0%","94.65%"
"Pattern","Solid: 58%","Conversational: 39.12%","Floral: 2.03%","Stripe: 0.55%","Herringbone: 0.18%","0%","93.72%"
"Product.Object.Type","PRODUCT: 100%","","","","","0%","80.09%"
"Product.Object.Status","A: 97.32%","I: 2.68%","","","","0%","80.09%"
"Product.Creation.Date","2000-01-04: 62.22%","2000-02-19: 15.37%","1999-12-27: 6.15%","2000-03-13: 5.51%","2000-03-21: 4.94%","0%","80.09%"
"Product.Creation.Date_Time","21:51:11: 9.97%","21:39:34: 7.4%","12:45:52: 6.94%","21:51:10: 6.9%","21:39:32: 6.3%","0%","80.09%"
"Product.Modification.Date","2000-02-22: 34.42%","2000-01-28: 29.95%","2000-02-23: 14.3%","2000-03-21: 5.98%","2000-03-09: 4.49%","0%","80.09%"
"Product.Modification.Date_Time","10:01:09: 4.39%","11:16:13: 4.05%","14:15:53: 3.23%","17:17:24: 2.95%","17:17:22: 2.39%","2.9%","80.09%"
"Product.Family.Status","Active: 100%","","","","","0%","80.09%"
"Product.Status","Active: 97.32%","Inactive: 2.68%","","","","0%","80.09%"
"Product.Code","ORO-TricotPH: 2.11%","HPK-BarDecHrtGMLS: 1.31%","DKNY-SkSfThH: 1.21%","HSR-BBTtSfPH: 1.21%","HUE-SptTncf3prAnk: 1.08%","12.99%","80.09%"
