"id_","id2","ranking_based","random_recommendations","profit_oriented","id","expectation"
"80",80,20.25,16,21.25,80,19.25
"81",81,18.25,18.25,22,81,19.25
"82",82,19,20,20.75,82,19.25
"83",83,18.25,17,19.5,83,19.25
"84",84,19,20.5,21.5,84,19.25
"85",85,21.25,14.5,18.75,85,19.25
"86",86,20.5,13,22,86,19.25
"87",87,19.25,14.5,20.5,87,19.25
"88",88,19.75,15.75,22.25,88,19.25
"89",89,17.5,15.75,21.5,89,19.25
"90",90,21.75,18.25,20.75,90,19.25
"91",91,19.5,22.75,22.25,91,19.25
"92",92,19,19.25,21.5,92,19.25
"93",93,17.75,15.5,22.5,93,19.25
"94",94,18.25,20.25,22.25,94,19.25
"95",95,19.75,21,22.5,95,19.25
"96",96,19.25,20.5,20.75,96,19.25
"97",97,19.5,21.5,21.25,97,19.25
"98",98,21.25,14.75,22.5,98,19.25
"99",99,17.5,20.5,22.25,99,19.25
"100",100,18.5,20.25,20.75,100,19.25
"101",101,19.25,20.25,19.75,101,19.25
"102",102,16.75,20.75,21.75,102,19.25
"103",103,21,7.75,22.75,103,19.25
"104",104,17.75,16.25,22,104,19.25
"105",105,21,16.75,19.25,105,19.25
"106",106,17.5,19.25,21.75,106,19.25
"107",107,13.5,21.5,22,107,19.25
"108",108,21.75,13.25,21.25,108,19.25
"109",109,19,19.25,22,109,19.25
"110",110,20.25,21.5,20.75,110,19.25
"111",111,19.75,15.25,21.75,111,19.25
"112",112,24.75,17,21,112,19.25
"113",113,18.25,20.75,21.25,113,19.25
"114",114,17.5,21,21,114,19.25
"115",115,19.25,20,21,115,19.25
"116",116,17.5,19.5,22.25,116,19.25
"117",117,23.25,14.75,22,117,19.25
"118",118,21.25,18.75,22.5,118,19.25
"119",119,17.5,17,20.75,119,19.25
"120",120,20,18,22.5,120,19.25
"121",121,19.25,17.75,22.25,121,19.25
"122",122,20.5,18.25,20.5,122,19.25
"123",123,17.75,16.75,21.25,123,19.25
"124",124,17.75,17.5,22.75,124,19.25
"125",125,20.25,19,21.25,125,19.25
"126",126,18.5,19.25,22,126,19.25
"127",127,12.5,17.75,21.25,127,19.25
"128",128,19,20.25,22.5,128,19.25
"129",129,19,19,21.75,129,19.25
"130",130,19,20.75,22.5,130,19.25
"131",131,20,20,21.5,131,19.25
"132",132,21,18,22,132,19.25
"133",133,18.25,19,21.5,133,19.25
"134",134,20,16.75,21.5,134,19.25
"135",135,20,18.25,21.25,135,19.25
"136",136,20,14.5,22,136,19.25
"137",137,18,21.25,24.5,137,19.25
"138",138,14.25,18.25,23.25,138,19.25
"139",139,16.25,13.25,20.75,139,19.25
"140",140,20.5,17,20,140,19.25
"141",141,17,19.75,22.25,141,19.25
"142",142,21.25,17.5,22,142,19.25
"143",143,18,22.5,23.25,143,19.25
"144",144,15.5,21,22.25,144,19.25
"145",145,18.75,20.75,21.75,145,19.25
"146",146,17.25,16.25,22.25,146,19.25
"147",147,20,20.25,NA,147,19.25
"148",148,21,18.75,NA,148,19.25
"149",149,18.5,17.5,NA,149,19.25
"150",150,19.5,NA,NA,150,19.25
"151",151,19.25,NA,NA,151,19.25
"152",152,18.75,NA,NA,152,19.25
"153",153,18.75,NA,NA,153,19.25
"154",154,17.5,NA,NA,154,19.25
