WhichDoYouWearMostFrequent,YourFavoriteLegcareBrand,Registration Gender,NumberOfChildren,DoYouPurchaseForOthers,HowDoYouDressForWork,HowManyPairsDoYouPurchase,YourFavoriteLegwearBrand,WhoMakesPurchasesForYou,NumberOfAdults,HowDidYouHearAboutUs,SendEmail,HowOftenDoYouPurchase,HowDidYouFindUs,City,US State,Email,Truck Owner,RV Owner,Motorcycle Owner,Marital Status,Working Woman,Mail Responder,Bank Card Holder,Gas Card Holder,Upscale Card Holder,Unknown Card Type,TE Card Holder,Premium Card Holder,Presence Of Children,Estimated Income Code,Home Market Value,New Car Buyer,Vehicle Lifestyle,Property Type,Loan To Value Percent,Presence Of Pool,Own Or Rent Home,Mail Order Buyer,DMA No Mail Solicitation Flag,DMA No Phone Solicitation Flag,New Bank Card,Speciality Store Retail,Oil Retail Activity,Bank Retail Activity,Finance Retail Activity,Miscellaneous Retail Activity,Upscale Retail,Upscale Speciality Retail,Retail Activity,Dwelling Size,Lendable Home Equity,Home Size Range,Lot Size Range,Dwelling Unit Size,Available Home Equity,Minority Census Tract,Gender,Occupation,Other Indiv\. Gender,Other Indiv\. Occupation,Year of Birth,Value Of All Vehicles,Age,Other Indiv\. Age,Number Of Adults,Year House Was Built,Length Of Residence,Year Home Was Bought,Home Purchase Date,Number Of Vehicles,CRA Income Classification,Number Of Credit Lines,Dataquick Market Code,Insurance Expiry Month,Month Home Was Bought,Year Of Structure,REQUEST_DAY_OF_WEEK,REQUEST_HOUR_OF_DAY,Customer ID,Clicks,Duration,Orderer
,,Female,0,,,,,,3 or more,,False,,Other,Clinton,MD,COM,False,False,False,,False,True,True,True,True,False,False,False,False,$75;000-$99;999,$150;000-$174;999,True,,single family dwelling,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,,1;250-1;499 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,True,Female,,Female,,1979,,,,1,1975,8,1992,199200,1,3,,5,,,1900,Monday,20,3002,1,0:00:00,0
trouser socks,,,,False,business casual,15 or more,DKNY,,,other,False,every 6 months,,Haddonfield,NJ,COM,False,False,False,Married,False,True,True,True,True,True,False,True,True,$75;000-$99;999,$300;000-$349;999,,,single family dwelling,01-49%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $150;000-$199;999,,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $200;000-$249;999,False,,,,,,,46,,2,,14,1986,198603,,4,1,1,3,3,1986,Saturday,15,3984,35,0:13:02,1
casual socks,Lucky Chick,,,False,business casual,15 or more,Hanes,,,print ad,False,every 6 months,,Fairfield,CT,Gazelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,13,3996,10,0:02:17,1
athletic socks,Lucky Chick,,,False,very casual,15 or more,DKNY,,,other,False,every 6 months,,Howell,MI,COM,False,False,False,,False,True,True,True,True,True,False,False,False,$30;000-$39;999,$100;000-$124;999,,IMPORT (STANDARD/ECONOMY),single family dwelling,,False,Owner,True,True,True,False,True,True,False,False,False,False,True,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,,,,,,18000,24,,3,,5,1995,199500,2,,4,6,,,1968,Saturday,23,4354,24,0:07:07,0
,,,,False,,,,,,,False,,,Summerville,SC,COM,False,False,False,Married,False,True,True,True,True,False,True,False,True,$75;000-$99;999,$25;000-$49;999,,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,MULTI FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,,,,,,,,,2,,12,1988,198800,,,,,,,1977,Sunday,12,4652,16,0:03:37,1
hosiery,,,,False,business dress,15 or more,Round the Clock,,,other,False,,,Evans,GA,COM,False,False,False,Married,True,True,False,False,False,False,False,False,False,$20;000-$29;999,,,,,,False,Renter,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,CLERICAL/WHITE COLLAR,,,,,30,,1,,2,,,,,,,,,1992,Thursday,20,5068,2,0:00:42,1
,,,,False,,,,,,,False,,,Stamford;,CT,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,15,5224,1,0:00:00,1
,,,,False,,,,,,,False,,,Forest Grove,OR,COM,False,False,False,,False,False,False,False,False,False,False,False,False,Under $15;000,,,FULL SIZE (STANDARD/LUXURY),,,False,,False,True,True,False,False,False,False,False,False,False,False,False,6 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,Male,STUDENT,,2000,30,30,2,,1,,,1,,,,,,1987,Thursday,10,5422,9,0:11:53,1
hosiery,Nature Made,,,False,business casual,11 to 15,Hanes,,,e-mail,False,,,San Francisco,CA,COM,False,False,False,Single,True,True,True,True,True,False,True,False,False,$50;000-$74;999,,,,,,False,Renter,False,True,True,False,False,False,False,False,False,False,False,False,8 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,ADMINISTRATIVE/MANAGERIAL,Male,,,,30,40,2,,2,,,,,,,,,1976,Friday,13,5516,3,0:00:52,1
casual socks,,,,False,very casual,6 to 10,DKNY,,,friend / family,False,every 6 months,,Voorhees,NJ,COM,False,False,False,Married,False,False,True,True,True,True,False,False,True,$75;000-$99;999,$75;000-$99;999,,,single family dwelling,70-74%,False,Owner,False,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $5;000-$9;999,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,Female,,Male,,,,38,,2,1985,14,1985,198507,,4,3,7,7,7,1985,Thursday,7,5672,3,0:01:10,1
casual socks,Conair,,,False,comfortable / athletic,15 or more,Donna Karan,,,other,False,each week,,franklin,MA,COM,False,False,False,Married,False,True,True,True,True,False,False,False,True,$75;000-$99;999,$150;000-$174;999,,,single family dwelling,90-94%,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY LESS THAN OR EQUAL $0,1;000-1;249 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $5;000-$9;999,False,Female,HOUSEWIFE,Male,,,,40,40,2,1920,12,1987,198706,2,,,9,6,6,1987,Thursday,17,5814,6,0:02:27,0
hosiery,,,,False,very casual,15 or more,Round the Clock,,,print ad,False,every 6 months,,Norfolk,VA,COM,False,False,False,,True,True,True,True,True,True,False,False,False,$50;000-$74;999,$75;000-$99;999,,,,,False,Owner,True,True,True,False,True,False,True,False,False,False,False,True,4 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,ADMINISTRATIVE/MANAGERIAL,Female,,,,52,24,2,,9,1989,198900,,,3,,,,1978,Sunday,18,5896,5,0:04:44,1
trouser socks,Tweezerman,,,False,comfortable / athletic,11 to 15,Danskin,,,e-mail,False,every 6 months,,Duluth,MN,EDU,True,True,False,Married,True,True,True,True,True,True,False,False,False,$75;000-$99;999,$250;000-$274;999,,STATION WAGON,,,False,Owner,True,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $10;000-$19;9999,False,Female,PROFESSIONAL/TECHNICAL,Male,,,26000,42,42,3,,6,1994,199400,1,3,3,,,,1965,Thursday,11,6158,5,0:01:06,0
trouser socks,Tweezerman,,,False,business casual,15 or more,Hot Sox,,,friend / family,False,every 6 months,,Howell,NJ,COM,False,False,False,Married,True,True,True,True,True,True,False,False,True,$75;000-$99;999,$225;000-$249;999,True,,single family dwelling,75-79%,False,Owner,True,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $5;000-$9;999,,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,,,,,,,36,,2,,4,1995,199506,2,3,3,3,6,6,1990,Thursday,7,6428,3,0:00:33,1
,,,,False,,,,,,,False,,,Nashua,NH,COM,False,False,False,Inferred Single,False,True,False,False,False,False,False,False,False,Under $15;000,$125;000-$149;999,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,20-29 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,,,,,,,1,,0,,,,,,,,,1940,Thursday,20,6444,31,0:16:37,0
trouser socks,Tweezerman,,,False,business casual,1 to 5,DKNY,,,other,False,every 6 months,,Chicago,IL,COM,False,False,False,Single,False,False,True,False,False,False,False,False,False,$20;000-$29;999,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,30-39 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,,,,,24,,1,,1,,,,,,,,,1988,Sunday,22,6786,4,0:02:46,1
trouser socks,Nature Made,,,False,business casual,15 or more,Danskin,,,e-mail,False,once a year,,Bryan,TX,NET,True,False,False,Married,False,True,True,True,True,True,False,True,True,$125;000 OR MORE,$100;000-$124;999,True,TRUCK OR UTILITY VEHICLE,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,False,Female,,Male,PROFESSIONAL/TECHNICAL,,28000,58,60,5,,14,1986,198600,1,4,1,,,,1976,Sunday,22,6880,20,0:15:06,1
hosiery,Natural Line,,,False,business casual,11 to 15,Evan Picone,,,other,False,every 6 months,,Methuen,MA,NET,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,Wednesday,17,7594,4,0:01:18,1
,,,,False,,,,,,other,False,,,Charlotte,NC,COM,False,False,False,Single,False,False,False,False,False,False,False,False,False,,,,,,,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,False,Male,STUDENT,,,,,,,1,,,,,,,,,,,,Friday,5,7892,10,0:02:23,1
,,,,False,,,,,,,False,,,Hart,MI,COM,False,False,False,Single,False,True,False,False,False,False,False,False,False,$40;000-$49;999,,,REGULAR (MIDSIZE/SMALL),,,False,,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,,Male,PROFESSIONAL/TECHNICAL,,,26,50,3,,1,,,1,,,,,,1998,Friday,20,8138,21,0:18:26,1
casual socks,DailyHerbs,,,False,comfortable / athletic,1 to 5,Hanes,,,friend / family,False,every 6 months,,West Allis,WI,COM,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,30-39 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,,,,,,,,,,,,,,,,,,,,1967,Thursday,9,8298,7,0:04:50,1
hosiery,eShave,,,False,business dress,15 or more,DKNY,,,other,False,every 6 months,,Oak Creek,WI,COM,False,False,False,Single,True,True,True,True,False,False,False,False,False,$20;000-$29;999,,,,,,False,Renter,False,True,True,False,False,False,False,False,False,False,False,False,5 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,PROFESSIONAL/TECHNICAL,,,,,28,,1,,1,,,,,,,,,1998,Sunday,19,8314,3,0:00:23,1
athletic socks,Conair,,,False,very casual,1 to 5,Danskin,spouse,,e-mail,False,once a year,,Glendale,NY,COM,False,False,False,Married,True,True,True,False,False,True,False,False,True,$75;000-$99;999,,,REGULAR (MIDSIZE/SMALL),,,False,Owner,False,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,,False,Female,PROFESSIONAL/TECHNICAL,Male,PROFESSIONAL/TECHNICAL,,8000,36,34,2,,2,,,1,,1,,,,1940,Thursday,7,8420,4,0:03:47,1
athletic socks,Conair,,,False,business casual,11 to 15,Givenchy,,,friend / family,False,every 6 months,,Philadelphia,PA,COM,False,False,False,Married,False,True,True,True,True,False,False,False,True,$30;000-$39;999,,,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $50;000-$74;000,False,Female,,Male,CRAFTSMAN/BLUE COLLAR,,,28,32,2,,5,1995,199500,2,,,,,,1941,Thursday,13,8452,9,0:05:50,1
hosiery,,,,False,business dress,15 or more,Hanes,,,other,False,every 6 months,,Toledo,OH,NET,False,False,False,Married,False,True,True,True,True,True,False,False,False,$40;000-$49;999,$100;000-$124;999,True,FULL SIZE (STANDARD/LUXURY),single family dwelling,60-69%,False,Owner,False,True,True,False,False,True,True,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,1;500-1;749 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,,,,10000,32,,1,1954,3,1997,199701,1,4,3,3,1,1,1960,Thursday,9,8460,10,0:07:04,1
athletic socks,eShave,,,False,business casual,1 to 5,American Essentials,friend,,in the news,False,,,Hagerstown,MD,COM,True,True,False,Single,False,False,True,True,False,False,False,False,False,$75;000-$99;999,$50;000-$74;999,,STATION WAGON,single family dwelling,50-59%,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $20;000-$29;000,1;000-1;249 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,,,,,,13000,46,,2,1930,13,1986,198605,,3,,6,5,5,1940,Thursday,7,8720,10,0:04:43,1
,,,,False,,,,,,e-mail,False,,,Chicago,IL,EDU,False,False,False,Single,False,True,True,True,True,False,False,True,False,$50;000-$74;999,$125;000-$149;999,,,apartment(5+ units),,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,100+ HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,EQUITY $75;000-$99;999,True,,,,,,,,,6,1970,4,1996,199600,,3,,,,,1900,Thursday,7,8764,1,0:00:00,1
hosiery,Tweezerman,,,False,business casual,15 or more,Hanes,,,e-mail,False,every 6 months,,lafayette,CO,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,9,8780,10,0:23:40,1
,,,,False,,,,,,,False,,,Richmond,VA,COM,False,False,False,Single,False,True,True,True,True,False,False,True,True,$125;000 OR MORE,$400;000-$449;999,,,single family dwelling,01-49%,False,Owner,True,True,True,False,False,False,False,False,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $200;000-$249;999,3;500-3;999 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $250;000-$499;999,False,Female,,Male,,,,46,56,6,1950,15,1981,198101,,,,1,1,1,1928,Wednesday,12,8868,22,0:21:00,1
athletic socks,Kneipp,,,False,business casual,1 to 5,Hot Sox,,,friend / family,False,every 6 months,,Bowie,MD,COM,False,False,False,Married,False,True,True,True,True,True,False,True,True,$30;000-$39;999,$250;000-$274;999,True,IMPORT (STANDARD/ECONOMY),condo,70-74%,False,Owner,True,True,True,False,True,False,False,False,True,False,False,True,2 HOUSEHOLDS,EQUITY $5;000-$9;999,1;500-1;749 FT,1 ACRE OR LESS,MULTI FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Male,PROFESSIONAL/TECHNICAL,Female,,,7000,32,,3,1994,6,1994,199403,2,4,3,1,3,3,1984,Thursday,9,8888,5,0:02:08,1
casual socks,Nature Made,,,False,comfortable / athletic,6 to 10,Hanes,,,friend / family,False,every 6 months,,Florence,AZ,COM,False,False,False,Inferred Single,False,True,False,True,False,False,False,False,True,$15;000-$19;999,,,,,,False,,True,True,True,False,False,False,False,False,False,False,False,False,,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,,,,,,,1,,,,,,,,,,,,Thursday,8,8984,1,0:00:00,1
casual socks,,,,False,business casual,1 to 5,Hanes,,,e-mail,False,every 6 months,,andover,MA,COM,False,False,False,Married,True,True,True,True,True,True,False,False,True,$125;000 OR MORE,$225;000-$249;999,True,REGULAR (MIDSIZE/SMALL),single family dwelling,01-49%,False,Owner,True,True,True,False,True,True,True,True,False,False,False,True,SINGLE HOUSEHOLD,EQUITY $75;000-$99;999,2;500-2;999 FT,1 ACRE OR LESS,SINGLE FAMILY DWELLING UNIT,EQUITY $100;000-$149;999,False,,,,,,15000,40,,2,1962,15,1984,198410,1,,4,3,10,10,1970,Tuesday,6,9004,31,0:15:34,1
,,,,False,,,,,,friend / family,False,,,Geronimo,OK,NET,False,False,False,Married,True,True,True,True,False,False,False,False,True,$30;000-$39;999,$25;000-$49;999,,,,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,PROFESSIONAL/TECHNICAL,Male,PROFESSIONAL/TECHNICAL,,,28,30,4,,4,1995,199512,1,3,,,,12,1994,Thursday,9,9438,13,0:09:50,1
athletic socks,Nature Made,,,False,comfortable / athletic,15 or more,Evan Picone,,,friend / family,False,every 6 months,,wla,CA,NET,False,False,False,Single,False,True,True,False,False,True,False,False,False,$50;000-$74;999,,,,,,False,,True,True,True,False,False,False,True,False,False,False,False,True,6 HOUSEHOLDS,,,,MULTI FAMILY DWELLING UNIT,,False,Female,,,,,,40,,1,,4,,,,,2,,,,1990,Saturday,15,9708,11,0:06:34,1
hosiery,Epilady,,,False,business casual,15 or more,DKNY,,,e-mail,False,every 6 months,,southold,NY,NET,True,True,False,Married,False,True,True,True,False,True,False,False,False,$75;000-$99;999,$225;000-$249;999,True,STATION WAGON,,,False,Owner,True,True,True,False,False,False,True,False,False,False,False,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,Male,PROFESSIONAL/TECHNICAL,,29000,44,42,2,,13,1987,198700,1,2,2,,,,1986,Friday,14,9802,18,0:19:20,1
,,,,False,,,,,,,False,,,Kennesaw,GA,COM,False,False,False,Inferred Single,False,False,False,False,False,False,False,False,True,$50;000-$74;999,$100;000-$124;999,,,single family dwelling,60-69%,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $10;000-$19;9999,1;250-1;499 FT,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,,,,,,,44,,2,1988,3,1996,199607,,,,5,7,7,1990,Monday,6,9970,20,0:09:09,1
trouser socks,Conair,,,False,business casual,15 or more,Ellen Tracy,,,friend / family,False,every 6 months,,akron,NY,COM,True,False,False,Inferred Married,False,False,True,True,False,True,False,False,True,$50;000-$74;999,$75;000-$99;999,True,SPECIALTY (MIDSIZE/SMALL),single family dwelling,50-59%,False,Owner,False,True,True,False,False,True,False,False,False,False,False,False,SINGLE HOUSEHOLD,EQUITY $20;000-$29;000,2;000-2;499 FT,GREATER THAN 1 ACRE,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,Male,,,10000,34,36,2,1890,4,1996,199601,2,,1,4,1,1,1993,Friday,7,10104,5,0:01:27,1
,,,,False,,,,,,,False,,,Fairfield,IA,NET,False,False,False,Inferred Married,False,True,True,True,True,False,False,False,True,$100;000-$124;999,$25;000-$49;999,True,IMPORT (STANDARD/ECONOMY),,,False,Owner,True,True,True,False,False,False,False,False,False,False,False,False,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $30;000-$49;000,False,Female,,Male,,,14000,46,52,4,,9,1991,199100,2,,,,,,1996,Friday,8,10148,13,0:15:01,0
trouser socks,Epilady,,,False,comfortable / athletic,15 or more,Hanes,,,friend / family,False,every 6 months,,Belton,TX,COM,False,False,False,,False,False,True,False,False,False,False,False,False,$40;000-$49;999,,True,,,,False,Owner,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,EQUITY $30;000-$49;000,False,,,,,,,,,1,,7,1993,199300,,,,,,,,Tuesday,18,10232,2,0:02:36,0
,,,,False,,,,,,,False,,,lewistown,PA,COM,False,False,False,Inferred Single,False,False,False,False,False,False,False,False,True,$20;000-$29;999,,,,,,False,,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,False,Female,,,,,,22,,1,,,,,,,,,,,,Thursday,10,10300,14,0:12:19,0
casual socks,Conair,,,False,very casual,1 to 5,Danskin,,,other,False,every 6 months,,Drumright,OK,COM,False,False,False,Married,True,True,True,False,False,True,False,False,True,$20;000-$29;999,$25;000-$49;999,,,,,False,Owner,True,True,True,False,True,False,True,False,True,False,True,True,SINGLE HOUSEHOLD,,,,SINGLE FAMILY DWELLING UNIT,EQUITY $20;000-$29;000,False,Female,PROFESSIONAL/TECHNICAL,Male,,,,28,28,6,,5,1995,199501,,2,5,,,1,1994,Friday,6,10432,19,0:09:55,1
hosiery,Nature Made,,,False,business casual,15 or more,Hanes,,,e-mail,False,every 6 months,,Delaware,OH,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,10444,8,0:04:14,0
